Username,Profile URL,Subscribers,Twitter,Instagram,TikTok,LinkedIn,Facebook,YouTube,Linktree,Threads,Bluesky,GitHub,Medium,Other,Scraped At,Category
dizzybeequeen,https://substack.com/@dizzybeequeen,1900,,https://www.instagram.com/dizzybeemarketing/,,https://www.linkedin.com/in/sullivan-catherine/,,,,,,,,,2026-01-22 01:48:24,Bestseller
kikirough,https://substack.com/@kikirough,2500,,,https://tiktok.com/@Kikirough,,,,,,,,,,2026-01-22 01:48:24,Bestseller
dariacupareanu,https://substack.com/@dariacupareanu,4200,,,,https://www.linkedin.com/in/daria-cupareanu/,,,,,,,,https://app.aiblewmymind.com/?utm_source=substack_profile&utm_medium=header&utm_campaign=%2F,2026-01-22 01:48:24,Bestseller
hightechinvesting,https://substack.com/@hightechinvesting,2900,,,,https://www.linkedin.com/in/stefanwaldhauser/,,,,,,,,https://stocksguide.com/,2026-01-22 01:48:24,Bestseller
digitallauraanderson,https://substack.com/@digitallauraanderson,7300,,,,,,,,,,,,https://www.10hr10kworkmonth.com/,2026-01-22 01:48:24,Bestseller
altsummit,https://substack.com/@altsummit,15000,,,,,https://www.facebook.com/altsummit/,,,,,,,https://altitudesummit.com,2026-01-22 01:48:24,Bestseller
johnhiggs,https://substack.com/@johnhiggs,4300,,https://instagram.com/john.higgs,,,,,,,,,,https://www.johnhiggs.com,2026-01-22 01:48:24,Bestseller
gavinmccracken,https://substack.com/@gavinmccracken,2100,https://twitter.com/GavMcCracken,,,,,,,,,,,,2026-01-22 01:48:24,Bestseller
tomyeh,https://substack.com/@tomyeh,57000,,,,https://www.linkedin.com/in/tom-yeh/,,https://www.youtube.com/@ai-by-hand,,,,,,https://www.byhand.ai/?utm_campaign=profile_chips,2026-01-22 01:48:24,Bestseller
jennadenisecooks,https://substack.com/@jennadenisecooks,1300,,https://instagram.com/jennadenisecooks,https://tiktok.com/@_jennadenise,,,,,,,,,,2026-01-22 01:48:24,Bestseller
thecontrariancapitalist,https://substack.com/@thecontrariancapitalist,4700,,,,https://www.linkedin.com/in/rob-smallbone,,https://youtube.com/@thecontrariancapitalist,,,,,,,2026-01-22 01:48:24,Bestseller
joycemaynard,https://substack.com/@joycemaynard,9700,,,,,https://www.facebook.com/joycemaynardauthor/,,,,,,,https://www.joycemaynard.com,2026-01-22 01:48:24,Bestseller
misspolitica,https://substack.com/@misspolitica,6100,,https://instagram.com/misspoliticamg,,,,,,,,,,https://misspolitica.com,2026-01-22 01:48:24,Bestseller
